dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.022,-0.6257231,9.479167,1.7341982,-0.060430665,0.97726065,0.17586301,1.1722792,0.9947954769344671,79.22641
0.026,-0.5736792,9.559925,1.7437695,-0.061223667,0.97193336,0.17521234,1.1722792,0.9894959154766616,79.18896
0.016,-0.5162515,9.611969,1.7102699,-0.058315996,0.97386503,0.176351,1.1722792,0.9914199564702054,79.20183
0.017,-0.56410795,9.668798,1.7108682,-0.056221664,0.9803107,0.17555802,1.1722792,0.9974921146161738,79.35031
0.018,-0.61675006,9.730413,1.820938,-0.05768567,0.9861057,0.17818101,1.1722792,1.0037332917408985,79.2462
0.024,-0.65982085,9.6783695,1.7970098,-0.06256567,0.9883626,0.18112934,1.1722792,1.0067685677439215,79.02727
0.02,-0.63529444,9.597611,1.8107685,-0.064985335,0.985943,0.184525,1.1722792,1.0051647656702634,78.77701
0.023,-0.60658056,9.531211,1.791626,-0.064639665,0.979172,0.18352866,1.1722792,0.9983180077670523,78.760735
0.011,-0.5593223,9.564711,1.7724833,-0.061223667,0.9753087,0.18269499,1.1722792,0.9941593874116796,78.82467
0.019,-0.5353941,9.569496,1.7581264,-0.057827998,0.974353,0.18090566,1.1722792,0.9926906527369468,78.970085
0.021,-0.59700924,9.5455675,1.7437695,-0.05750267,0.97484094,0.17927898,1.1722792,0.9928556630489387,79.06885
0.019,-0.6975078,9.616755,1.6534405,-0.062199667,0.97661,0.17523266,1.1722792,0.9941541061155861,79.22007
0.019,-0.7501499,9.711869,1.6199409,-0.069499336,0.98144937,0.17053567,1.1722792,0.998576701764602,79.37293
0.019,-0.78843504,9.697512,1.7156538,-0.076006,0.98661405,0.16958,1.1722792,1.0039629319432495,79.33304
0.018,-0.8117651,9.62154,1.7778672,-0.07988966,0.98677665,0.17380933,1.1722792,1.005146854883125,79.02909
0.021,-0.721436,9.573684,1.7682959,-0.07891367,0.9820797,0.178852,1.1722792,1.0013470498443382,78.74219
0.02,-0.65982085,9.555139,1.762912,-0.07454199,0.9772404,0.18045832,1.1884407,0.9965543046984233,78.701385
0.018,-0.61675006,9.664013,1.762912,-0.06791333,0.978684,0.17995,1.1884407,0.997404938017054,78.8815
0.021,-0.6263213,9.735199,1.7252251,-0.06468034,0.984174,0.178486,1.1884407,1.0023169598683421,79.08195
0.02,-0.6646065,9.71127,1.753939,-0.064843,0.989481,0.17818101,1.1884407,1.0074848289062512,79.152016
0.018,-0.71246296,9.654441,1.8634106,-0.06809633,0.9891556,0.18159701,1.1884407,1.0079897650960525,78.90671
0.021,-0.7501499,9.64487,1.9830518,-0.07230533,0.98608524,0.19036067,1.1884407,1.0068909257334913,78.33225
0.018,-0.74117684,9.701699,2.0793629,-0.074907996,0.98576,0.20142199,1.1884407,1.0089126581074603,77.70171
0.021,-0.78843504,9.658628,2.1224337,-0.07749033,0.9859023,0.21022634,1.1884407,1.0110406667508391,77.19662
0.02,-0.7932207,9.525827,2.160719,-0.07895433,0.98185605,0.21626534,1.1884407,1.0084868770071833,76.803635
0.019,-0.6687939,9.241081,2.2791636,-0.076494,0.96619934,0.22305667,1.1884407,0.994558582275735,76.28467
0.018,-0.4103691,8.919247,2.3832514,-0.06364334,0.9410674,0.23192202,1.1884407,0.9713115578257175,75.664536
0.021,-0.2536392,8.947362,2.4358935,-0.045302663,0.921405,0.24127533,1.1884407,0.9535477544285063,75.08118
0.019,-0.21655045,9.322437,2.5322046,-0.029930666,0.9241703,0.24987634,1.1884407,0.957822947791161,74.76706
0.022,-0.14177474,9.64487,2.594418,-0.020801,0.9488347,0.257054,1.1884407,0.9832582375933181,74.79431
0.022,-0.2219343,9.549755,2.4412773,-0.019723333,0.9693103,0.257237,1.1884407,1.003056480739748,75.095695
0.015,-0.2739782,9.526425,2.312663,-0.021675333,0.976244,0.24977465,1.1884407,1.0079233552783342,75.59692
0.019,-0.17407785,9.517452,2.0440688,-0.022773335,0.97191304,0.231068,1.1884407,0.9992627293157337,76.56404
0.023,0.07298109,9.665209,1.7910278,-0.012749001,0.9758373,0.20896567,1.1884407,0.9980418864351905,77.89145
0.022,0.26739794,9.875179,1.4566308,0.0056526675,0.9876917,0.17986868,1.1884407,1.0039519864053843,79.673996
0.021,0.31465617,9.94158,1.3417753,0.022265002,1.002108,0.15599734,1.1884407,1.0144216571210027,81.06363
0.012,0.25842485,9.847063,1.2699906,0.028568333,1.0082893,0.138287,1.2084316,1.018129082919048,82.02782
0.022,0.18664017,9.870394,1.3274183,0.025823334,1.0081267,0.133895,1.2084316,1.017307342667642,82.296776
0.022,0.12023934,9.860822,1.265205,0.019215,1.0053817,0.13129233,1.2084316,1.0141002224605546,82.481544
0.013,0.020338992,9.836894,1.2562319,0.011122334,1.005036,0.13082467,1.2084316,1.0135759245244447,82.55714
0.022,-0.1268196,9.741779,1.2514462,4.6766704E-4,1.0006644,0.12824233,1.2084316,1.0088485821498439,82.69693
0.022,-0.069391854,9.623335,1.1700903,-0.0059779994,0.99259204,0.12500934,1.2084316,1.0004509101847232,82.81374
0.021,0.19262223,9.524033,1.0929217,-1.2199953E-4,0.9819577,0.11945834,1.2084316,0.9891972419517008,83.06389
0.015,0.45882374,9.471989,1.0588241,0.019784335,0.9727874,0.11291101,1.2084316,0.979518046194452,83.2794
0.019,0.53599226,9.439087,0.99661064,0.04036167,0.96652466,0.107014336,1.2084316,0.9732682322384562,83.25137
