dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.018,-0.8877372,9.549157,2.2522442,-0.08324467,0.9692697,0.227835,1.2372913,0.9991607473719419,75.949936
0.02,-0.9451649,9.51147,2.25703,-0.08891767,0.9700627,0.22915666,1.2372913,1.0007200988103773,75.78119
0.019,-0.9493524,9.473185,2.2809582,-0.09457034,0.9698796,0.23080367,1.2372913,1.0014391512572571,75.57762
0.02,-0.9876375,9.430713,2.2522442,-0.09796599,0.9658537,0.23080367,1.2372913,0.9978682386909214,75.44736
0.019,-0.99720883,9.506684,2.2187448,-0.099735,0.9656909,0.22950232,1.242653,0.9975857458507591,75.472664
0.019,-1.0259227,9.520443,2.2331018,-0.10233766,0.9672974,0.22787566,1.242653,0.9990317948007035,75.52
0.022,-1.049851,9.515657,2.2713869,-0.104452334,0.9701846,0.22852635,1.242653,1.0021939879944306,75.48015
0.021,-1.0588241,9.5252285,2.2474587,-0.10654667,0.970815,0.22950234,1.242653,1.003247369634998,75.391716
0.023,-1.0636097,9.516255,2.1852453,-0.10782767,0.9706726,0.22787566,1.242653,1.0028755835230592,75.44104
0.023,-1.0827522,9.506684,2.1900308,-0.108946,0.9703676,0.22511034,1.242653,1.002076441634942,75.54798
0.01,-1.1443675,9.468399,2.1661026,-0.11185367,0.96843594,0.222345,1.242653,0.9999083534362182,75.58657
0.019,-1.2251252,9.473185,2.242673,-0.117343664,0.96697205,0.224297,1.242653,0.999556717745239,75.33012
0.018,-1.2113664,9.454042,2.3144577,-0.12171533,0.9651827,0.22852634,1.242653,0.9993080581819588,74.983475
0.022,-1.0875379,9.458828,2.2713869,-0.11978366,0.96485734,0.232105,1.242653,0.9995851859086577,74.85284
0.017,-1.0492527,9.445069,2.2139592,-0.113805674,0.9639017,0.231129,1.242653,0.9977368556833414,75.035995
0.02,-1.0540384,9.435498,2.2187448,-0.108458005,0.9632714,0.22787566,1.242653,0.9957822090972308,75.31894
0.02,-1.1252248,9.41157,2.2761726,-0.109739006,0.961665,0.22803833,1.242653,0.9944061800738073,75.25648
0.02,-1.2107682,9.349357,2.3575284,-0.11522899,0.9584117,0.23291834,1.242653,0.993016437835268,74.82964
0.019,-1.2729816,9.334999,2.472384,-0.122670986,0.95499563,0.24153967,1.242653,0.9926763024127926,74.162895
0.02,-1.268196,9.510274,2.4819553,-0.12753065,0.95835066,0.24853432,1.242653,0.9982331191184404,73.74943
0.017,-1.1928221,9.647861,2.4915266,-0.12692066,0.96849704,0.25308898,1.242653,1.0090338930958442,73.70427
0.021,-1.0689936,9.662816,2.4819553,-0.119987,0.9796397,0.25341433,1.242653,1.0189748105590422,74.02825
0.021,-0.8739785,9.653245,2.4293132,-0.10658734,0.9844993,0.251625,1.242653,1.0217215016031667,74.48688
0.017,-0.77407813,9.625129,2.428715,-0.092354,0.9837267,0.24949001,1.242653,1.0190646234210552,74.86719
0.02,-0.75972116,9.601201,2.4143581,-0.08184167,0.9816324,0.24719234,1.2766631,1.015580770905161,75.143845
0.021,-0.78843504,9.573085,2.361716,-0.07893401,0.9789076,0.24489468,1.2766631,1.012158111935233,75.27321
0.019,-0.8787641,9.59163,2.3712873,-0.08249233,0.9777691,0.24294269,1.2766631,1.0108701711912895,75.29711
0.02,-0.97866446,9.573085,2.2761726,-0.08993433,0.9768133,0.23824568,1.2766631,1.0094619569804357,75.38826
0.019,-1.0923235,9.492328,2.1661026,-0.10026366,0.97406834,0.23159666,1.2766631,1.0062300704677738,75.474815
0.018,-1.1874382,9.425926,2.1852453,-0.11075566,0.968436,0.22527301,1.2766631,1.0004414215566835,75.46827
0.021,-1.2675978,9.316455,2.1996021,-0.12057667,0.959713,0.22267032,1.2766631,0.9925572084219532,75.219345
0.018,-1.3435699,9.335598,2.1427727,-0.12911667,0.9543857,0.22187734,1.2766631,0.9883080122048716,74.94491
0.02,-1.3393825,9.359526,2.085345,-0.13428134,0.9521287,0.21848166,1.2766631,0.9860602367669021,74.9256
0.019,-1.2915261,9.435498,1.9938195,-0.13509469,0.956175,0.211487,1.2766631,0.9885585517863237,75.294136
0.021,-1.1587243,9.639486,1.8939191,-0.12881167,0.96650434,0.20302834,1.2766631,0.9959636452044586,76.0298
0.02,-0.96430755,9.649655,1.8550358,-0.11606266,0.976366,0.19520001,1.2766631,1.0024291096697946,76.90611
0.019,-0.83090764,9.531211,1.8975084,-0.10040599,0.9796193,0.19192635,1.2766631,1.0032801729315879,77.53196
0.02,-0.71665037,9.620942,2.065006,-0.08537966,0.97898906,0.19774167,1.2766631,1.0024026357484415,77.592094
0.02,-0.5599205,9.715458,2.2372892,-0.07163433,0.9812257,0.21073467,1.2766631,1.0061533221342511,77.219574
0.019,-0.49292147,9.640084,2.2420747,-0.060146,0.9849264,0.22244667,1.2766631,1.0115236421685123,76.831894
0.019,-0.46899325,9.602397,2.1655045,-0.051728,0.984296,0.22586267,1.2766631,1.0112014600303225,76.753365
0.018,-0.5162515,9.573684,2.103291,-0.050243665,0.979477,0.221308,1.2766631,1.005423703819666,76.95507
0.021,-0.6305088,9.455238,1.9453648,-0.054920334,0.97319394,0.21122266,1.2766631,0.9973653835874379,77.36015
0.02,-0.8207382,9.469596,1.7736797,-0.066876344,0.96867996,0.19790433,1.2766631,0.9909487596999867,77.83041
0.019,-1.0067801,9.54497,1.811965,-0.08354967,0.967704,0.18800199,1.2465984,0.9893312507871637,77.9978
0.02,-1.1300105,9.525827,1.8598214,-0.100528,0.9701033,0.18509434,1.2465984,0.9927065289580329,77.74992
0.019,-1.2963116,9.497113,1.855634,-0.116693,0.97103864,0.18788,1.2465984,0.9959077203722358,77.16887
0.02,-1.4871392,9.558728,1.9800607,-0.13302065,0.97150636,0.19359367,1.2465984,0.9994986763578811,76.40798
0.023,-1.6199409,9.520443,1.922633,-0.14967366,0.9713233,0.19572866,1.2465984,1.0020882628395555,75.76592
0.016,-1.6863418,9.47797,1.817947,-0.16293101,0.9706726,0.19444768,1.2465984,1.003275498368312,75.35336
0.019,-1.6959131,9.439685,1.7653049,-0.17002733,0.96662635,0.18714802,1.2465984,0.9991497222070467,75.340996
0.019,-1.6384853,9.421141,1.7653049,-0.17065768,0.96325094,0.18180032,1.2465984,0.9950013889950976,75.486855
0.02,-1.4386846,9.383454,1.7216359,-0.16223967,0.96003836,0.17852668,1.2465984,0.9898823910544304,75.895065
0.02,-1.224527,9.332008,1.558924,-0.146217,0.9563783,0.17151166,1.2465984,0.9825757374981323,76.73971
0.019,-1.0103694,9.342177,1.3579268,-0.124867,0.95369434,0.15766467,1.2465984,0.9746706198577613,78.09159
0.02,-0.87218386,9.29492,1.2861422,-0.10561133,0.950685,0.142862,1.2465984,0.9671428652488082,79.41489
0.019,-0.77706915,9.290133,1.1282159,-0.09040201,0.94926167,0.128222,1.2465984,0.962138822822471,80.61546
0.02,-0.5820541,9.428918,0.75972116,-0.075843334,0.95221,0.10788867,1.2465984,0.9612991613535016,82.11482
