dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.011,-0.28295127,9.527621,2.9748766,-0.0142129995,0.97699624,0.23779833,1.1740012,1.0056200651579366,76.29689
0.019,-0.42412782,9.749556,2.9886355,-0.024440667,0.98317766,0.27439833,1.1740012,1.0210436341453508,74.34725
0.02,-0.33080772,9.610174,2.510071,-0.03527833,0.98189664,0.28802168,1.1740012,1.0238759985342891,73.53634
0.019,-0.32841492,9.747761,1.6737795,-0.036823664,0.98937935,0.24379669,1.1740012,1.0196392989352223,76.00646
0.02,-0.3595216,10.027123,1.0713863,-0.034627665,0.99881405,0.17862834,1.1740012,1.0152520171881874,79.67568
0.023,-0.4001996,10.039087,1.1132607,-0.036986336,1.013393,0.13115,1.1740012,1.0225134600795365,82.341705
0.022,-0.6939186,9.669396,1.5738791,-0.049410004,1.0107293,0.12775433,1.1740012,1.0199687551374619,82.282196
0.024,-0.13459627,9.644272,2.1762722,-0.041764665,0.99771595,0.16531001,1.1783735,1.0121802229318304,80.30217
0.009,0.357727,9.6682,2.4514468,-0.016002335,0.9851093,0.21079566,1.1783735,1.007537231948091,77.888176
0.019,0.60777694,9.830912,1.7102699,0.028243,0.99059933,0.21543165,1.1783735,1.0141476726376066,77.62885
0.02,0.63170516,9.940982,1.0079765,0.05429,1.0006846,0.17572065,1.1783735,1.0174452597142396,79.585846
0.019,0.45702913,9.944571,0.89013004,0.057665333,1.0100785,0.12265066,1.1783735,1.019130585898934,82.35784
0.02,0.6221339,9.75135,1.5672989,0.05815333,1.0073743,0.117791,1.1783735,1.0159032839432642,82.570435
0.032,1.4033905,9.573684,2.243271,0.08438333,0.9948897,0.15977933,1.1783735,1.0111653909606455,79.70611
0.015,1.2813566,9.319446,2.1852453,0.11240267,0.97364134,0.20380099,1.1783735,1.0010727522740028,76.556114
0.014,1.5643078,9.363115,1.2400804,0.14442767,0.960445,0.19267865,1.1783735,0.9901711899930636,75.92515
0.016,2.1481566,9.084352,0.123828575,0.16974266,0.9438124,0.12063766,1.1783735,0.9665132209079635,77.5575
0.02,2.3509483,8.929416,-0.15553348,0.20609868,0.93055505,0.041073333,1.1783735,0.9539897147032825,77.27414
0.02,1.814956,9.28116,-0.13399807,0.21461834,0.92776936,-0.0056323335,1.1783735,0.9522860630542317,76.970726
0.034,1.6588243,9.635897,0.70229346,0.1979857,0.9465167,0.014030002,1.1783735,0.9671034201962222,78.15685
0.011,2.7756743,9.625129,2.2767708,0.21242233,0.9701643,0.09670534,1.1783735,0.9978446444725367,76.473045
0.013,3.5324044,8.377871,2.7912276,0.27079934,0.939461,0.19613534,1.1783735,0.9971902082102556,70.40868
0.019,3.0000014,8.503493,1.5314065,0.31638667,0.90097,0.22431733,1.1783735,0.9809004520645613,66.7097
0.02,3.6933217,9.369696,0.38703907,0.34757796,0.8922877,0.16008434,1.1783735,0.9708834747644451,66.7872
0.02,4.514658,9.29492,1.4763715,0.38096532,0.92345864,0.11539167,1.1783735,1.0055971691965955,66.681526
0.02,4.88734,9.070593,2.181058,0.445117,0.9427347,0.13747366,1.1783735,1.0515592691376001,63.703228
0.018,4.9525447,8.980264,2.4747767,0.48791865,0.9294977,0.20843701,1.1783735,1.0702694057855622,60.28144
0.02,4.5762734,8.917452,2.8061829,0.490013,0.9166674,0.25363803,1.2739354,1.0699178093488986,58.955223
0.02,4.3645086,8.971889,2.7601209,0.47224167,0.9133124,0.27332067,1.2739354,1.0638871563440753,59.14495
