dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.02,-0.032303106,0.25902304,9.789636,-0.0015046668,0.026738333,1.002657,0.048065156,1.0030146430171647,1.5275705
0.026,-0.02751746,0.25902304,9.794421,-0.0032940002,0.026413,0.99777704,0.048065156,0.9981320193456541,1.5163631
0.021,-0.02751746,0.26859435,9.81835,-0.0029686664,0.026738333,0.9994037,0.048065156,0.9997657411776173,1.5325359
0.011,-0.032303106,0.25902304,9.81835,-0.0029686664,0.026738333,1.0003797,0.03152388,1.0007413545677029,1.5310414
0.02,-0.032303106,0.2638087,9.799207,-0.003131333,0.026901001,1.0005423,0.03152388,1.0009087517324506,1.5401005
0.025,-0.02751746,0.25902304,9.803992,-0.003131333,0.026575668,1.0000542,0.03152388,1.000412192428824,1.5222257
0.024,-0.02751746,0.2638087,9.813564,-0.0029686664,0.026738333,0.9998917,0.03152388,1.000253547786553,1.5317882
0.009,-0.032303106,0.25902304,9.803992,-0.0029686664,0.026575668,1.0000542,0.03152388,1.0004116964998429,1.5222266
0.02,-0.02751746,0.2638087,9.794421,-0.0029686664,0.026738333,0.999729,0.03152388,1.0000908859813518,1.5320375
0.019,-0.032303106,0.25902304,9.808778,-0.003131333,0.026575664,0.9995663,0.03152388,0.9999244433742306,1.5229683
0.019,-0.02751746,0.25902304,9.812965,-0.0029686664,0.026575664,0.9998713,0.03152388,1.0002288351193707,1.5225048
0.02,-0.032303106,0.25902304,9.794421,-0.003131333,0.026413,0.9998713,0.03152388,1.0002250224226739,1.5131893
0.019,-0.032303106,0.25902304,9.799207,-0.003131333,0.026413,0.999546,0.03152388,0.9998998153523498,1.5136817
0.019,-0.032303106,0.2542374,9.80818,-0.0032939997,0.026250333,0.9993833,0.049859233,0.9997333905753755,1.5046078
0.02,-0.032303106,0.25902304,9.808778,-0.0032939997,0.026250333,0.99987125,0.049859233,1.000221202987344,1.5038738
0.02,-0.03708875,0.2638087,9.794421,-0.0034566664,0.026413001,0.99970865,0.049859233,1.0000634905077714,1.5134339
0.019,-0.032303106,0.25902304,9.812965,-0.0034566664,0.026575668,0.9998713,0.049859233,1.0002304026395996,1.5225025
0.02,-0.02751746,0.2542374,9.817751,-0.0032939997,0.026413001,1.0001763,0.049859233,1.0005304339329788,1.5127275
0.019,-0.032303106,0.2638087,9.789636,-0.003131333,0.026413001,1.0000137,0.049859233,1.0003673676201723,1.512974
0.019,-0.032303106,0.2638087,9.803992,-0.003131333,0.026575668,0.99970865,0.049859233,1.0000667283940592,1.5227518
0.021,-0.032303106,0.2638087,9.813564,-0.0032939997,0.026901,0.9995663,0.049859233,0.9999336655424227,1.5416025
0.019,-0.032303106,0.25902304,9.808778,-0.0032939997,0.026738333,1.000217,0.049859233,1.0005797108423928,1.5312889
0.02,-0.02751746,0.2542374,9.789636,-0.003131333,0.026413,0.999729,0.049859233,1.0000827368722511,1.5134047
0.018,-0.02751746,0.25902304,9.817751,-0.0029686664,0.026250333,0.9998713,0.047707614,1.0002202440689767,1.5038753
0.022,-0.032303106,0.2638087,9.813564,-0.0029686664,0.026413001,1.000034,0.047707614,1.000387130093918,1.5129442
0.02,-0.032303106,0.2638087,9.794421,-0.003131333,0.026738333,1.0001967,0.047707614,1.0005589303087434,1.5313206
0.017,-0.03708875,0.2638087,9.803992,-0.0034566668,0.026901,0.999729,0.047707614,1.0000968158731662,1.541351
0.02,-0.032303106,0.26859435,9.817751,-0.0034566668,0.027063668,0.9998713,0.047707614,1.0002434875384303,1.5504463
